Draw,Date,Result,Super Ball
baloto,2022-08-24,14-18-21-26-36,07
revancha,2022-08-24,02-06-24-32-40,05
baloto,2022-08-20,12-14-15-20-43,10
revancha,2022-08-20,01-06-34-37-39,04
baloto,2022-08-17,03-08-15-22-33,13
revancha,2022-08-17,03-07-20-31-35,07
baloto,2022-08-13,05-06-18-19-24,09
revancha,2022-08-13,01-08-10-22-25,04
baloto,2022-08-10,01-14-15-22-36,11
revancha,2022-08-10,13-14-15-33-40,16
baloto,2022-08-06,06-13-33-35-41,11
revancha,2022-08-06,04-08-17-39-40,14
baloto,2022-08-03,06-08-13-32-43,15
revancha,2022-08-03,06-28-33-34-38,12
baloto,2022-07-30,04-14-19-25-31,15
revancha,2022-07-30,16-17-22-26-36,15
baloto,2022-07-27,02-20-26-30-43,11
revancha,2022-07-27,07-09-10-11-29,13
baloto,2022-07-23,02-08-11-19-26,06
revancha,2022-07-23,20-30-31-33-39,10
baloto,2022-07-20,03-11-29-39-40,13
revancha,2022-07-20,07-08-13-18-37,12
baloto,2022-07-16,07-09-11-28-34,05
revancha,2022-07-16,03-04-06-18-36,15
baloto,2022-07-13,16-23-31-39-43,09
revancha,2022-07-13,06-12-13-15-38,16
baloto,2022-07-09,01-08-21-29-35,06
revancha,2022-07-09,04-15-27-30-35,07
baloto,2022-07-06,01-08-12-13-42,05
revancha,2022-07-06,22-31-35-40-42,02
baloto,2022-07-02,07-08-11-12-38,05
revancha,2022-07-02,02-09-16-31-34,05
baloto,2022-06-29,09-24-29-30-32,14
revancha,2022-06-29,08-11-12-29-41,14
baloto,2022-06-25,07-09-14-28-39,09
revancha,2022-06-25,02-10-15-22-25,03
baloto,2022-06-22,16-28-30-32-39,11
revancha,2022-06-22,05-14-20-30-31,08
baloto,2022-06-18,01-14-18-19-26,10
revancha,2022-06-18,03-07-15-19-43,01
baloto,2022-06-15,01-07-12-32-43,01
revancha,2022-06-15,14-16-27-34-41,14
baloto,2022-06-11,22-24-28-31-43,04
revancha,2022-06-11,01-06-16-31-37,13
baloto,2022-06-08,05-06-17-22-31,10
revancha,2022-06-08,12-22-28-42-43,09
baloto,2022-06-04,20-24-32-35-37,05
revancha,2022-06-04,03-07-10-26-31,08
baloto,2022-06-01,13-17-25-26-35,04
revancha,2022-06-01,10-17-18-25-28,16
baloto,2022-05-28,06-20-25-29-41,04
revancha,2022-05-28,06-29-33-40-42,12
baloto,2022-05-25,05-10-14-37-40,06
revancha,2022-05-25,01-08-21-28-36,05
baloto,2022-05-21,13-19-21-25-36,12
revancha,2022-05-21,23-26-27-31-42,04
baloto,2022-05-18,15-20-27-38-42,03
revancha,2022-05-18,22-23-28-32-38,05
baloto,2022-05-14,05-07-20-26-33,14
revancha,2022-05-14,04-12-14-28-38,10
baloto,2022-05-11,21-26-27-30-31,02
revancha,2022-05-11,05-11-22-23-24,15
baloto,2022-05-07,04-18-30-41-43,11
revancha,2022-05-07,02-06-11-19-22,16
baloto,2022-05-04,14-27-34-38-40,14
revancha,2022-05-04,03-10-11-19-41,15
baloto,2022-04-30,03-05-10-30-40,08
revancha,2022-04-30,12-19-24-34-35,10
baloto,2022-04-27,04-09-20-25-43,14
revancha,2022-04-27,06-07-15-17-31,12
baloto,2022-04-23,06-16-28-39-40,02
revancha,2022-04-23,03-23-29-30-38,03
baloto,2022-04-20,13-16-35-38-42,03
revancha,2022-04-20,05-12-18-32-36,12
baloto,2022-04-16,01-05-08-17-30,15
revancha,2022-04-16,13-14-27-28-39,13
baloto,2022-04-13,07-09-16-23-28,12
revancha,2022-04-13,07-10-13-28-31,02
baloto,2022-04-09,20-27-31-34-41,09
revancha,2022-04-09,01-15-27-30-43,03
baloto,2022-04-06,11-24-33-42-43,15
revancha,2022-04-06,04-14-28-32-35,15
baloto,2022-04-02,03-07-08-18-38,07
revancha,2022-04-02,13-28-33-37-43,14
baloto,2022-03-30,04-06-16-36-37,14
revancha,2022-03-30,22-29-30-33-40,03
baloto,2022-03-26,19-23-33-34-40,05
revancha,2022-03-26,05-19-24-34-39,13
baloto,2022-03-23,03-09-37-40-42,11
revancha,2022-03-23,16-18-28-30-34,01
baloto,2022-03-19,09-27-36-39-43,08
revancha,2022-03-19,23-28-31-33-38,04
baloto,2022-03-16,01-11-31-33-36,07
revancha,2022-03-16,02-13-16-34-38,16
baloto,2022-03-12,01-04-10-16-25,15
revancha,2022-03-12,02-03-07-24-34,03
baloto,2022-03-09,17-18-19-27-37,14
revancha,2022-03-09,07-09-21-32-35,07
baloto,2022-03-05,01-04-05-29-33,11
revancha,2022-03-05,05-12-18-21-22,02
baloto,2022-03-02,15-20-26-37-40,13
revancha,2022-03-02,03-04-09-19-26,15
baloto,2022-02-26,03-08-25-36-38,10
revancha,2022-02-26,29-32-33-39-43,01
baloto,2022-02-23,07-13-36-38-42,09
revancha,2022-02-23,17-20-23-32-40,02
